"","age","female","college","church","catholic","jewish","bible","income","pid","media","feeling.dem","feeling.demc","feeling.repc","feeling.rep","abortion","black","latino","white","gay.marriage","gay.discrimination","racial.resentment","moral.traditionalism","gay.therm","immigrants","gays.adoption","trans.military","authoritarianism","aid.blacks","sample_type","race","birthright.citizenship","dreamers","border.wall","urban.unrest","conservative"
"3912",58,0,0,1,1,0,3,0,1,NA,0,0,100,100,0,0,0,1,0,0,0.75,0.5,1,1,0,1,0.75,1,3,"white",0,0,1,0,0
"3913",25,1,0,0,0,0,1,0,0.5,NA,50,70,15,30,0,1,0,0,1,1,0.3125,0.375,0.183673469387755,0,1,1,1,0,3,"black",0,0,0,0,0
"3914",37,0,1,0,0,0,3,1,0.833333333333333,NA,60,70,50,70,1,0,0,0,0,1,0.5,0.5,0.489795918367347,0,0,0,0.75,0,3,"other",1,0,0,NA,NA
"3915",60,1,0,0,0,0,3,0,0.666666666666667,NA,50,30,60,60,1,0,0,1,1,0,0.75,0.75,0.387755102040816,0,1,1,0.5,0,4,"white",1,0,1,0,0
"3916",34,1,1,NA,0,0,2,1,0.833333333333333,NA,60,30,60,40,0,0,0,1,0,0,1,0.875,0.591836734693878,0,1,1,0.25,0,4,"white",0,0,0,0,0
"3917",37,0,1,0,0,0,NA,0,0.5,NA,0,0,20,5,NA,0,0,0,0,0,0.125,0.375,0.489795918367347,0,0,0,0,NA,4,"other",0,0,0,NA,NA
"3918",69,1,0,0,1,0,2,0,0.833333333333333,0,15,30,85,60,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,1,4,"white",1,0,1,1,1
"3919",40,1,1,0,1,0,2,1,0.333333333333333,NA,50,60,30,50,0,0,0,1,0,0,0.375,0.625,0.489795918367347,1,0,0,0.25,0,4,"white",0,0,0,0,0
"3920",43,0,1,NA,0,0,1,1,0.333333333333333,NA,70,70,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0.25,0,3,"other",0,0,0,0,0
"3921",21,0,0,0,0,0,2,0,0.333333333333333,0,30,60,15,30,0,0,0,1,0,0,0.0625,0.25,0.846938775510204,0,0,0,0,0,4,"white",0,0,0,0,0
"3922",64,0,0,NA,1,0,1,0,0,0,70,85,0,0,0,0,0,1,0,1,0.5,0.375,0.693877551020408,1,0,0,0.25,0,3,"white",1,0,0,1,1
"3923",46,1,1,NA,0,0,NA,1,0,0,85,95,0,0,0,0,0,1,0,0,0.125,0.75,0.693877551020408,0,0,0,0.25,0,4,"white",0,0,0,0,0
"3924",41,1,0,0,1,0,3,0,0.5,0,70,100,100,70,1,0,1,0,0,0,0.5,0.5,0.693877551020408,0,0,1,1,0,4,"latino",0,0,0,NA,NA
"3925",32,1,1,NA,0,0,NA,1,0.5,NA,50,0,NA,50,0,0,0,1,0,0,0.375,0.5,1,0,0,0,0.25,0,4,"white",0,0,0,0,0
"3926",67,1,0,0,0,0,2,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0.3125,0.5,1,0,0,0,0.5,0,3,"black",0,0,0,0,0
"3927",-9,1,1,NA,0,0,1,1,0,0,70,85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,"white",0,0,0,0,0
"3928",80,0,1,0,0,1,1,0,0,NA,100,100,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,3,"white",0,0,0,NA,NA
"3929",73,0,0,NA,0,0,1,0,0.5,0,50,60,0,50,0,0,0,1,1,0,0.625,0.5,0.489795918367347,1,0,0,0.25,NA,4,"white",1,1,1,0,0
"3930",36,0,0,NA,0,0,1,1,0.5,NA,0,0,50,60,0,0,0,1,1,1,0.875,0.75,NA,1,1,0,1,1,4,"white",1,1,1,NA,NA
"3931",76,1,0,0,0,0,2,0,0.166666666666667,0,85,70,60,60,0,0,0,0,0,1,0.8125,0.75,0.489795918367347,1,1,1,0.5,0,4,"other",0,1,0,0,0
